GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
33,-1043.3495,-26349.5189,-4922.3415,120.07743048,-27392.8684,-4802.264069520001,-32195.132469520002
34,-577.2396,-26285.7256,-4982.9224,121.3389756,-26862.965200000002,-4861.583424400001,-31724.548624400002
35,26.6125,-26325.7612,-4926.6059,121.92661583999998,-26299.1487,-4804.67928416,-31103.82798416
36,-893.0052,-26595.304,-4699.0944,115.95692592,-27488.3092,-4583.13747408,-32071.446674079998
37,22.2089,-26451.859,-4843.8013,122.45854104000001,-26429.6501,-4721.34275896,-31150.99285896
38,-523.3353,-26525.4233,-4870.6746,121.14657576,-27048.758599999997,-4749.52802424,-31798.286624239998
39,-752.2499,-26517.8016,-4782.8835,119.46457367999999,-27270.051499999998,-4663.41892632,-31933.470426319996
40,-827.8984,-26669.3544,-4641.958,115.722216,-27497.252800000002,-4526.2357839999995,-32023.488584000002
41,-1019.5084,-26728.4499,-4642.2751,119.43831744,-27747.9583,-4522.83678256,-32270.79508256
42,450.2487,-26410.0919,-4821.6136,120.72495599999999,-25959.8432,-4700.888644,-30660.731844
43,-663.9234,-26487.9328,-4757.7917,116.93360736,-27151.8562,-4640.85809264,-31792.714292639997
44,-508.3238,-26457.3777,-4814.3192,120.31626024,-26965.7015,-4694.00293976,-31659.70443976
45,-603.1997,-26619.2824,-4777.3943,116.00838288,-27222.4821,-4661.38591712,-31883.86801712
46,-429.5502,-26491.0952,-4838.9747,117.83235672,-26920.6454,-4721.14234328,-31641.78774328
47,-533.7227,-26573.3744,-4755.6706,118.90242935999999,-27107.0971,-4636.768170640001,-31743.86527064
48,244.4275,-26591.1505,-4666.0374,116.97839352,-26346.722999999998,-4549.05900648,-30895.78200648
49,-581.7744,-26533.9287,-4691.2234,117.11053367999999,-27115.7031,-4574.11286632,-31689.81596632
50,-1096.4136,-26496.1018,-4771.8563,116.09910072,-27592.5154,-4655.75719928,-32248.27259928
51,-488.0889,-26499.4769,-4843.4843,119.2476096,-26987.5658,-4724.2366904,-31711.8024904
52,-90.2887,-26589.9198,-4705.8487,118.58968871999998,-26680.2085,-4587.25901128,-31267.46751128
53,-810.004,-26529.8177,-4751.2486,119.02599216,-27339.8217,-4632.22260784,-31972.04430784
54,-619.0196,-26402.599,-4874.9614,119.61079488,-27021.618599999998,-4755.35060512,-31776.969205119996
55,-1108.6544,-26361.9399,-4883.6989,120.62702376,-27470.5943,-4763.07187624,-32233.66617624
